,title,media,date,datetime,desc,link,img
15,"Suicide Bomber Kills 28, Wounds 150 at Mosque in Northwest ...",The Diplomat,"an 30, 2023",,"Deterrence is the fulcrum of Australian defense policy, but questions of where, what, and how remain unanswered – especially regarding the new SSNs. Bangladesh...",https://thediplomat.com/2023/01/suicide-bomber-kills-28-wounds-150-at-mosque-in-northwest-pakistan/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
16,Bangladesh: Suicide claims more lives than coronavirus,Anadolu Agency,"ar 14, 2021",,"An estimated 10,000 people commit suicide in Bangladesh on average every year, according to the state Bangladesh Bureau of Statistics. The coronavirus pandemic...",https://www.aa.com.tr/en/asia-pacific/bangladesh-suicide-claims-more-lives-than-coronavirus/2175200,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
17,World Suicide Prevention Day: Why is suicide prevention not a ...,Dhaka Tribune,10-Sep-20,,"The Bangladesh government has never prioritized suicide prevention actions, though several researches shows that 10,000-11,000 people commit suicide in the...",https://archive.dhakatribune.com/bangladesh/2020/09/10/world-suicide-prevention-day-why-is-bangladesh-unconcerned-to-save-people-from-suicide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
18,Survey: 101 university students committed suicide in 2021,Dhaka Tribune,"an 29, 2022",,"As many as 101 students of different universities in Bangladesh took their own lives last year against the backdrop of the Covid-19 pandemic, according to a...",https://www.dhakatribune.com/bangladesh/2022/01/29/survey-101-university-students-committed-suicide-in-2021,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
19,Farhan and Tanvir Towhid fatally shot family in Texas before ...,The Washington Post,"pr 6, 2021",,"... shot to death in Texas after brothers formed murder-suicide pact, police said ... which moved to the United States from Bangladesh about 15 years ago,...",https://www.washingtonpost.com/nation/2021/04/06/texas-family-murder-suicide/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
20,Six of a Bangladeshi family dead in Texas 'murder-suicide',Dhaka Tribune,"pr 6, 2021",,Six members of a Bangladeshi family have died in a case of what appears to be a murder-suicide in Texas after two brothers made a suicide pact that included...,https://archive.dhakatribune.com/world/2021/04/06/six-bangladeshis-found-dead-in-apparent-murder-suicide-at-texas-home,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
21,6 of Bangladeshi family found dead in Texas,New Age,"pr 6, 2021",,"They had all been shot to death, police said, by Farhan and Tanvir Towhid as part of a suicide pact the pair had planned out for over a month, the US newspaper...",https://www.newagebd.net/article/134590/6-of-bangladeshi-family-found-dead-in-texas,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
22,Nearly 600 students in Bangladesh committed suicide in 2022 ...,Anadolu Agency,"an 28, 2023",,"A total of 585 students in Bangladesh committed suicide in 2022, according to a report released Friday in the nation's capital, Dhaka.",https://www.aa.com.tr/en/asia-pacific/nearly-600-students-in-bangladesh-committed-suicide-in-2022-report/2799845,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
23,"In Bangladesh, the Price of Criminalising Suicide is High",The Wire,19-Apr-23,,"Bangladesh, a country of 169 million people, records approximately 10,000 suicides every year; a figure researchers say is steadily increasing.",https://thewire.in/south-asia/in-bangladesh-the-price-of-criminalising-suicide-is-high,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
24,Report: 45 students committed suicide per month in 2022,Dhaka Tribune,09-Sep-22,,As many as 45 students committed suicide on an average per month this year showing a worrying trend of vulnerable mental condition of Bangladesh's future...,https://www.dhakatribune.com/bangladesh/2022/09/09/45-students-committed-suicide-on-average-per-month-in-2022,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
25,"Suicide Bomber Kills 28, Wounds 150 at Mosque in Northwest ...",The Diplomat,"an 30, 2023",,"Deterrence is the fulcrum of Australian defense policy, but questions of where, what, and how remain unanswered – especially regarding the new SSNs. Bangladesh...",https://thediplomat.com/2023/01/suicide-bomber-kills-28-wounds-150-at-mosque-in-northwest-pakistan/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
26,Bangladesh: Suicide claims more lives than coronavirus,Anadolu Agency,"ar 14, 2021",,"An estimated 10,000 people commit suicide in Bangladesh on average every year, according to the state Bangladesh Bureau of Statistics. The coronavirus pandemic...",https://www.aa.com.tr/en/asia-pacific/bangladesh-suicide-claims-more-lives-than-coronavirus/2175200,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
27,World Suicide Prevention Day: Why is suicide prevention not a ...,Dhaka Tribune,10-Sep-20,,"The Bangladesh government has never prioritized suicide prevention actions, though several researches shows that 10,000-11,000 people commit suicide in the...",https://archive.dhakatribune.com/bangladesh/2020/09/10/world-suicide-prevention-day-why-is-bangladesh-unconcerned-to-save-people-from-suicide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
